연도,분기,분기별_연도,지역,고용률,취업자,실업률,실업자,전입자수,전출자수
2015,1,2015Q01,경상북도,60.0,1375.9,4.0,57.7,29208.0,30848.0
2015,2,2015Q02,경상북도,63.5,1457.7,3.0,44.5,31184.0,32243.0
2015,3,2015Q03,경상북도,63.1,1450.9,2.7,39.5,35808.0,37122.0
2015,4,2015Q04,경상북도,62.8,1447.5,2.6,38.1,28237.0,28861.0
2016,1,2016Q01,경상북도,60.6,1400.1,3.8,55.0,27354.0,29039.0
2016,2,2016Q02,경상북도,63.2,1462.6,3.2,48.1,33835.0,33917.0
2016,3,2016Q03,경상북도,63.0,1457.6,3.1,45.9,34906.0,34784.0
2016,4,2016Q04,경상북도,62.7,1452.2,2.6,39.3,25347.0,25404.0
2017,1,2017Q01,경상북도,60.8,1408.7,3.9,57.4,25341.0,26785.0
2017,2,2017Q02,경상북도,63.4,1468.1,2.9,43.5,31878.0,34046.0
2017,3,2017Q03,경상북도,63.2,1464.7,2.0,29.7,29122.0,30584.0
2017,4,2017Q04,경상북도,62.4,1444.6,2.3,34.4,21978.0,22496.0
2018,1,2018Q01,경상북도,59.5,1378.2,4.8,70.1,29327.0,31382.0
2018,2,2018Q02,경상북도,62.3,1442.0,4.0,59.5,29749.0,32143.0
2018,3,2018Q03,경상북도,62.3,1442.8,4.3,64.2,30290.0,31796.0
2018,4,2018Q04,경상북도,62.3,1443.2,3.5,51.9,26713.0,27152.0
2019,1,2019Q01,경상북도,59.9,1387.5,4.9,71.9,29181.0,31304.0
2019,2,2019Q02,경상북도,61.9,1435.8,4.5,67.2,30891.0,32917.0
2019,3,2019Q03,경상북도,62.5,1448.0,3.0,44.8,29294.0,29379.0
2019,4,2019Q04,경상북도,62.5,1449.3,3.3,49.2,25780.0,25993.0
2020,1,2020Q01,경상북도,60.2,1397.1,4.2,61.8,28254.0,30667.0
2020,2,2020Q02,경상북도,60.9,1413.1,4.9,72.2,31464.0,34193.0
2020,3,2020Q03,경상북도,62.1,1441.3,3.5,52.4,31923.0,36640.0
2020,4,2020Q04,경상북도,61.3,1422.2,3.6,52.8,28090.0,29790.0
2021,1,2021Q01,경상북도,58.5,1356.6,5.4,77.2,28704.0,29732.0
2021,2,2021Q02,경상북도,61.3,1416.9,3.7,54.7,31528.0,31770.0
2021,3,2021Q03,경상북도,62.3,1439.0,1.8,25.9,34387.0,32948.0
2021,4,2021Q04,경상북도,61.8,1428.0,2.0,29.8,26786.0,25653.0
2022,1,2022Q01,경상북도,60.6,1404.7,3.4,49.1,24367.0,25706.0
2022,2,2022Q02,경상북도,64.1,1492.4,2.2,33.1,29187.0,30343.0
2022,3,2022Q03,경상북도,63.8,1485.5,1.8,27.5,27572.0,28087.0
2022,4,2022Q04,경상북도,63.0,1464.3,2.6,39.3,21380.0,21461.0
2023,1,2023Q01,경상북도,61.5,1426.1,3.0,43.9,22636.0,24286.0
2023,2,2023Q02,경상북도,64.7,1496.5,2.7,41.3,27074.0,29089.0
2023,3,2023Q03,경상북도,64.0,1465.4,2.2,33.3,26590.0,26590.0
2023,4,2023Q04,경상북도,63.7,1458.3,2.5,37.7,19345.0,19246.0
2024,1,2024Q01,경상북도,62.3,1423.3,3.4,50.2,28266.0,29678.0
2024,2,2024Q02,경상북도,65.0,1484.5,2.7,40.6,29167.0,30798.0
2024,3,2024Q03,경상북도,64.8,1479.2,1.8,27.2,26834.0,27064.0
2024,4,2024Q04,경상북도,64.0,1460.0,2.3,34.9,25686.0,25399.0
