,집계년,in_15_29,out_15_29,순유입_15_29,in_30_49,out_30_49,순유입_30_49,in_50_64,out_50_64,순유입_50_64
0,2010,18237,17523,714,13467,13653,-186,2957,2563,394
1,2010,22276,23287,-1011,18557,17576,981,5569,4665,904
2,2011,18941,16869,2072,15147,13491,1656,2991,2594,397
3,2011,22810,22774,36,19441,17261,2180,5273,4603,670
4,2012,18891,16571,2320,14891,13695,1196,3051,2573,478
5,2012,22722,22859,-137,19323,17641,1682,5187,4589,598
6,2013,22704,23227,-523,18672,17410,1262,5106,4525,581
7,2013,18552,16819,1733,14326,13743,583,2948,2497,451
8,2014,21950,22760,-810,18170,17254,916,4724,4243,481
9,2014,17908,16609,1299,13840,13716,124,2687,2333,354
10,2015,22969,23955,-986,18508,17702,806,5098,4650,448
11,2015,18812,17436,1376,14127,14005,122,2850,2529,321
12,2016,22253,23042,-789,18287,16959,1328,4996,4365,631
13,2016,18540,17195,1345,13982,13337,645,2878,2395,483
14,2017,22825,23398,-573,18340,16618,1722,5174,4436,738
15,2017,19207,18032,1175,13772,13106,666,2913,2456,457
16,2018,25349,27005,-1656,18939,17738,1201,5279,4623,656
17,2018,20802,20868,-66,14213,13737,476,3044,2687,357
18,2019,26355,28054,-1699,18676,17619,1057,5323,4648,675
19,2019,21922,21743,179,13933,13537,396,3004,2688,316
20,2020,26284,26306,-22,17719,16127,1592,5356,4688,668
21,2020,21530,20160,1370,13039,12288,751,2950,2656,294
22,2021,22134,20830,1304,12603,12008,595,3166,2732,434
23,2021,26544,27297,-753,17184,15654,1530,5595,4752,843
24,2022,27306,29117,-1811,17824,16091,1733,5676,4941,735
25,2022,23210,22711,499,12991,12199,792,3471,2975,496
26,2023,22564,22788,-224,12725,12159,566,3519,3007,512
27,2023,27277,28686,-1409,17970,16018,1952,5864,5058,806
