,순이동 (명),총전입 (명),총전출 (명)
2015.1/2,-2414,30859,33273
2015.2/2,789,33290,32501
2016.1/2,-2329,28642,30971
2016.2/2,-1857,24524,26381
2017.1/2,-2298,27008,29306
2017.2/2,-1382,23949,25331
2018.1/2,-2608,30061,32669
2018.2/2,-1364,26752,28116
2019.1/2,-1427,29985,31412
2019.2/2,-1317,24691,26008
2020.1/2,-2367,34469,36836
2020.2/2,-1160,26532,27692
2021.1/2,1797,32585,30788
2021.2/2,791,28658,27867
2022.1/2,-3214,25418,28632
2022.2/2,-2157,21290,23447
2023.1/2,-2299,24290,26589
2023.2/2,171,23085,22914
2024.1/2,220,32319,32099
2024.2/2,-35,26640,26675
2025.1/2,-734,20087,20821
