듡뫇봏,렔뭤덃_뱒벞?뙢긓?긤,렔뭤덃_뱒벞?뙢뼹,몜롨먩_뱒벞?뙢긓?긤,몜롨먩_뱒벞?뙢뼹,뮪됡뗦빁,룂댷벍릶
2023,40,븶돦뙢,01,뻢둇벞,?볺뮪됡,188
2023,40,븶돦뙢,03,듼롨뙢,?볺뮪됡,52
2023,40,븶돦뙢,04,?뤻뙢,?볺뮪됡,94
2023,40,븶돦뙢,15,륷뒅뙢,?볺뮪됡,41
2023,40,븶돦뙢,16,븑랹뙢,?볺뮪됡,6
2023,40,븶돦뙢,17,먐먯뙢,?볺뮪됡,39
2023,40,븶돦뙢,18,븶덁뙢,?볺뮪됡,8
2023,40,븶돦뙢,20,뮮뽰뙢,?볺뮪됡,53
2023,40,븶돦뙢,21,딌븣뙢,?볺뮪됡,48
2023,40,븶돦뙢,24,랳뢣뙢,?볺뮪됡,48
2023,40,븶돦뙢,29,볖쀇뙢,?볺뮪됡,125
2023,40,븶돦뙢,30,쁝됊랹뙢,?볺뮪됡,8
2023,40,븶돦뙢,31,뮰롦뙢,?볺뮪됡,26
2023,40,븶돦뙢,32,뱡뜧뙢,?볺뮪됡,103
2023,40,븶돦뙢,33,돦랹뙢,?볺뮪됡,154
2023,40,븶돦뙢,34,뛎뱡뙢,?볺뮪됡,1075
2023,40,븶돦뙢,35,랹뚿뙢,?볺뮪됡,1547
2023,40,븶돦뙢,36,벩뱡뙢,?볺뮪됡,105
2023,40,븶돦뙢,37,뛻먯뙢,?볺뮪됡,125
2023,40,븶돦뙢,38,닩뷦뙢,?볺뮪됡,226
2023,40,븶돦뙢,39,뛼뭢뙢,?볺뮪됡,149
2023,40,븶돦뙢,41,뜴됯뙢,?볺뮪됡,746
2023,40,븶돦뙢,42,뮮띹뙢,?볺뮪됡,2981
2023,40,븶돦뙢,43,똅?뙢,?볺뮪됡,889
2023,40,븶돦뙢,44,묈빁뙢,?볺뮪됡,1367
2023,40,븶돦뙢,45,?띹뙢,?볺뮪됡,570
2023,40,븶돦뙢,46,렚럺뱡뙢,?볺뮪됡,1124
2023,40,븶돦뙢,47,돧볤뙢,?볺뮪됡,682
