조사회차,대계열,졸업자
2014,사회계열,147508
2014,공학계열,117099
2014,예체능계열,67354
2014,자연계열,51690
2014,의약계열,46512
2014,인문계열,45615
2014,교육계열,29773
2015,사회계열,151308
2015,공학계열,122438
2015,예체능계열,68987
2015,자연계열,54171
2015,인문계열,48829
2015,의약계열,48183
2015,교육계열,30335
2016,사회계열,149363
2016,공학계열,125373
2016,예체능계열,67256
2016,자연계열,54892
2016,의약계열,51348
2016,인문계열,49477
2016,교육계열,30235
2017,사회계열,144512
2017,공학계열,125319
2017,예체능계열,64794
2017,자연계열,53570
2017,의약계열,52627
2017,인문계열,48099
2017,교육계열,31066
2018,사회계열,136630
2018,공학계열,122812
2018,예체능계열,62910
2018,의약계열,54017
2018,자연계열,51040
2018,인문계열,45085
2018,교육계열,30455
2019,사회계열,133000
2019,공학계열,123520
2019,예체능계열,61038
2019,의약계열,55242
2019,자연계열,50469
2019,인문계열,43549
2019,교육계열,30123
2020,사회계열,130016
2020,공학계열,128735
2020,예체능계열,61087
2020,의약계열,56392
2020,자연계열,50732
2020,인문계열,42278
2020,교육계열,29394
2021,공학계열,128841
2021,사회계열,128350
2021,예체능계열,60361
2021,의약계열,57685
2021,자연계열,50174
2021,인문계열,41103
2021,교육계열,28912
2022,공학계열,130894
2022,사회계열,129699
2022,예체능계열,60946
2022,의약계열,58913
2022,자연계열,51010
2022,인문계열,42175
2022,교육계열,28131
2023,공학계열,125438
2023,사회계열,118479
2023,예체능계열,57778
2023,의약계열,57737
2023,자연계열,47493
2023,인문계열,37374
2023,교육계열,25418
