집계년,전입수（총수）（인）,전출수（총수）（인）,순이동수（총수）（인）
2012,36833,32839,3994
2012,47232,45089,2143
2013,46482,45162,1320
2013,35826,33059,2767
2014,44844,44257,587
2014,34435,32658,1777
2015,46575,46307,268
2015,35789,33970,1819
2016,45536,44366,1170
2016,35400,32927,2473
2017,46339,44452,1887
2017,35892,33594,2298
2018,49567,49366,201
2018,38059,37292,767
2019,50354,50321,33
2019,38859,37968,891
2020,49359,47121,2238
2020,37519,35104,2415
2021,37903,35570,2333
2021,49323,47703,1620
2022,50806,50149,657
2022,39672,37885,1787
