연령(5세 계급),2010년 노동력 인구,2010년 노동력률 (%),2011년 노동력 인구,2011년 노동력률 (%),2012년 노동력 인구,2012년 노동력률 (%),2013년 노동력 인구,2013년 노동력률 (%),2014년 노동력 인구,2014년 노동력률 (%),2015년 노동력 인구,2015년 노동력률 (%),2016년 노동력 인구,2016년 노동력률 (%),2017년 노동력 인구,2017년 노동력률 (%),2018년 노동력 인구,2018년 노동력률 (%),2019년 노동력 인구,2019년 노동력률 (%),2020년 노동력 인구,2020년 노동력률 (%)
총수,716707,64.0,714121,63.6,711536,63.3,708950,62.9,706365,62.6,703779,62.2,712566,62.9,721353,63.5,730141,64.2,738928,64.8,747715,65.5
15~19세,11141,15.2,10888,15.1,10635,15.0,10381,15.0,10128,14.9,9875,14.8,10170,15.3,10466,15.8,10761,16.4,11057,16.9,11352,17.4
20~24세,57717,65.2,56030,65.2,54343,65.1,52655,65.1,50968,65.0,49281,65.0,50817,66.5,52353,68.0,53889,69.5,55425,71.0,56961,72.5
25~29세,77930,86.3,75355,86.4,72780,86.4,70204,86.5,67629,86.5,65054,86.6,65628,87.4,66202,88.1,66775,88.9,67349,89.6,67923,90.4
30~34세,83090,83.1,81200,84.0,79310,84.8,77421,85.7,75531,86.5,73641,87.4,72688,87.5,71735,87.6,70781,87.8,69828,87.9,68875,88.0
35~39세,89567,81.6,87759,82.5,85950,83.5,84142,84.4,82333,85.4,80525,86.3,79576,86.3,78627,86.4,77677,86.4,76728,86.5,75779,86.5
40~44세,79202,83.4,81386,84.2,83570,85.1,85754,85.9,87938,86.8,90122,87.6,88965,87.7,87807,87.7,86650,87.8,85492,87.8,84335,87.9
45~49세,72222,85.2,73677,85.8,75131,86.4,76586,87.0,78040,87.6,79495,88.2,82153,88.3,84811,88.3,87470,88.4,90128,88.4,92786,88.5
50~54세,66696,83.9,67358,84.5,68020,85.1,68682,85.6,69344,86.2,70006,86.8,71863,86.9,73720,86.9,75578,87.0,77435,87.0,79292,87.1
55~59세,68387,79.0,68032,79.8,67676,80.7,67321,81.5,66965,82.4,66610,83.2,66897,83.3,67183,83.4,67470,83.4,67756,83.5,68043,83.6
60~64세,60262,65.0,59579,65.5,58896,66.0,58214,66.5,57531,67.0,56848,67.5,56575,68.7,56303,69.9,56030,71.0,55758,72.2,55485,73.4
65~69세,27644,42.2,30098,42.5,32552,42.8,35005,43.0,37459,43.3,39913,43.6,40304,45.3,40694,47.1,41085,48.8,41475,50.6,41866,52.3
70~74세,12720,24.5,14495,24.7,16271,24.9,18046,25.1,19822,25.3,21597,25.5,23015,27.4,24433,29.3,25852,31.2,27270,33.1,28688,35.0
75~79세,6250,14.6,6717,14.5,7183,14.4,7650,14.2,8116,14.1,8583,14.0,8940,14.9,9296,15.9,9653,16.8,10009,17.8,10366,18.7
80~84세,2731,9.0,2796,8.6,2860,8.2,2925,7.8,2989,7.4,3054,7.0,3250,7.6,3446,8.1,3642,8.7,3838,9.2,4034,9.8
85세 이상,1148,4.1,1209,4.0,1271,3.9,1332,3.7,1394,3.6,1455,3.5,1550,3.6,1645,3.7,1740,3.7,1835,3.8,1930,3.9
