연도_반기,전입수,전출수,순이동수,취업자_총계,고용률(%),정책시행,건설업 (F),"광·제조업 (B,C)","농업, 임업 및 어업 (A)","도소매·숙박음식업 (G,I)","사업·개인·공공서비스 및 기타 (E,L~U)","전기·운수·통신·금융 (D,H,J,K)",정보통신 (J)
2010_H1,46478,41723,4755,1016101,59.4,0,90470,129959,32408,272388,422127,146980,25369
2010_H2,45626,41280,4346,1054272,59.3,0,93235,133932,33398,280716,435032,151473,26144
2011_H1,44775,40837,3937,1050806,59.3,0,95980,140021,34211,283321,457663,156687,27542
2011_H2,43923,40394,3529,1003597,59.3,0,86130,125651,30700,254246,410698,140608,24716
2012_H1,36833,32839,3994,1037530,59.3,0,92770,137449,32899,268282,452025,152191,27239
2012_H2,47232,45089,2143,1000902,59.2,0,87744,130003,31116,253749,427538,143946,25764
2013_H1,46482,45162,1320,982105,59.3,0,90519,136210,31934,256245,450655,149236,27192
2013_H2,35826,33059,2767,1040355,59.1,0,88400,133023,31186,250249,440110,145743,26555
2014_H1,44844,44257,587,983708,59.2,1,85002,129914,29828,235346,432368,140846,26121
2014_H2,34435,32658,1777,1022781,59.1,1,92321,141100,32396,255612,469599,152975,28371
2015_H1,46575,46307,268,1006908,59.1,1,85187,132676,30028,240957,437716,140044,26255
2015_H2,35789,33970,1819,983611,59.0,1,92522,144101,32614,261707,475411,152104,28517
2016_H1,45536,44366,1170,972952,357.7,1,84200,128347,28859,238004,437791,139245,26474
2016_H2,35400,32927,2473,1004242,59.7,1,93631,142721,32091,264661,486823,154840,29440
2017_H1,46339,44452,1887,1008402,56.9,1,92886,138510,30931,262376,488617,154515,29782
2017_H2,35892,33594,2298,955467,61.0,1,85067,126850,28328,240289,447484,141507,27274
2018_H1,49567,49366,201,953712,224.7,1,90117,131401,29133,254383,479543,150788,29452
2018_H2,38059,37292,767,996833,0.0,1,87957,128250,28434,248283,468046,147172,28746
2019_H1,50354,50321,33,989189,0.0,1,91323,130142,28636,257608,491511,153693,30411
2019_H2,38859,37968,891,948031,63.2,1,86873,123801,27240,245058,467565,146204,28929
2020_H1,49359,47121,2238,979518,62.4,1,84165,121376,25724,236874,451160,140734,28791
2020_H2,37519,35104,2415,944377,62.4,1,94440,136195,28865,265792,506238,157916,32305
