연도_반기,15세 이상 인구 (명),취업자 수 (명),고용률 (%)
2010_H1,533235,316298,59.3
2010_H2,585883,347528,59.3
2011_H1,578231,342742,59.3
2011_H2,542811,321747,59.3
2012_H1,586161,347193,59.2
2012_H2,536805,317959,59.2
2013_H1,592548,350725,59.2
2013_H2,532342,315090,59.2
2014_H1,551402,326138,59.1
2014_H2,575412,340340,59.1
2015_H1,553292,326843,59.1
2015_H2,577345,341052,59.1
2016_H1,590912,352588,59.7
2016_H2,542648,323790,59.7
2017_H1,592636,357131,60.3
2017_H2,543847,327730,60.3
2018_H1,585738,356430,60.9
2018_H2,553668,336914,60.9
2019_H1,592792,364201,61.4
2019_H2,549538,337626,61.4
2020_H1,577739,360476,62.4
2020_H2,564541,352241,62.4
